chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart/src/test/java/org/jfree/data/DomainOrderTest.java,jfreechart/src/test/java/org/jfree/data/DomainOrderTest.java,79,47,0.5949367,4,0.14873418
jfreechart/src/test/java/org/jfree/data/xy/XYDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYDataItemTest.java,75,47,0.62666667,4,0.15666667
jfreechart/src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,166,60,0.36144578,7,0.051635113
jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesTest.java,255,90,0.3529412,15,0.023529412
jfreechart/src/test/java/org/jfree/data/xy/DefaultHighLowDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultHighLowDatasetTest.java,156,50,0.32051283,5,0.06410257
jfreechart/src/test/java/org/jfree/data/xy/XYSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYSeriesTest.java,638,160,0.2507837,37,0.006777938
jfreechart/src/test/java/org/jfree/data/xy/DefaultXYZDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultXYZDatasetTest.java,198,85,0.42929292,9,0.047699213
jfreechart/src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,192,85,0.44270834,9,0.049189817
jfreechart/src/test/java/org/jfree/data/xy/XYIntervalDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYIntervalDataItemTest.java,125,56,0.448,5,0.089600004
jfreechart/src/test/java/org/jfree/data/xy/TableXYDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/TableXYDatasetTest.java,236,102,0.43220338,14,0.03087167
jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesCollectionTest.java,162,72,0.44444445,7,0.06349207
jfreechart/src/test/java/org/jfree/data/xy/CategoryTableXYDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/CategoryTableXYDatasetTest.java,157,61,0.38853502,7,0.055505004
jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesCollectionTest.java,145,69,0.47586206,7,0.0679803
jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesTest.java,235,84,0.35744682,13,0.02749591
jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesTest.java,248,87,0.35080644,14,0.025057603
jfreechart/src/test/java/org/jfree/data/xy/YIntervalTest.java,jfreechart/src/test/java/org/jfree/data/xy/YIntervalTest.java,78,47,0.6025641,4,0.15064102
jfreechart/src/test/java/org/jfree/data/xy/OHLCDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/OHLCDataItemTest.java,70,47,0.67142856,4,0.16785714
jfreechart/src/test/java/org/jfree/data/xy/VectorDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/VectorDataItemTest.java,100,51,0.51,5,0.102
jfreechart/src/test/java/org/jfree/data/xy/MatrixSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/MatrixSeriesTest.java,137,56,0.40875912,7,0.05839416
jfreechart/src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,111,59,0.5315315,5,0.1063063
jfreechart/src/test/java/org/jfree/data/xy/VectorSeriesTest.java,jfreechart/src/test/java/org/jfree/data/xy/VectorSeriesTest.java,240,86,0.35833332,13,0.0275641
jfreechart/src/test/java/org/jfree/data/xy/DefaultWindDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultWindDatasetTest.java,161,89,0.55279505,10,0.055279505
jfreechart/src/test/java/org/jfree/data/xy/DefaultOHLCDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultOHLCDatasetTest.java,129,57,0.44186047,7,0.06312292
jfreechart/src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,jfreechart/src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,78,47,0.6025641,4,0.15064102
jfreechart/src/test/java/org/jfree/data/xy/DefaultIntervalXYDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/DefaultIntervalXYDatasetTest.java,307,113,0.36807817,18,0.020448787
jfreechart/src/test/java/org/jfree/data/xy/XYIntervalTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYIntervalTest.java,86,47,0.54651165,4,0.13662791
jfreechart/src/test/java/org/jfree/data/xy/XYSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYSeriesCollectionTest.java,419,110,0.26252982,17,0.01544293
jfreechart/src/test/java/org/jfree/data/xy/XIntervalDataItemTest.java,jfreechart/src/test/java/org/jfree/data/xy/XIntervalDataItemTest.java,106,54,0.509434,5,0.101886794
jfreechart/src/test/java/org/jfree/data/xy/XYCoordinateTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYCoordinateTest.java,88,51,0.57954544,5,0.115909085
jfreechart/src/test/java/org/jfree/data/xy/XYBarDatasetTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYBarDatasetTest.java,114,53,0.4649123,5,0.092982456
jfreechart/src/test/java/org/jfree/data/xy/IntervalXYDelegateTest.java,jfreechart/src/test/java/org/jfree/data/xy/IntervalXYDelegateTest.java,99,47,0.47474748,4,0.11868687
jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesCollectionTest.java,155,71,0.45806453,7,0.06543779
jfreechart/src/test/java/org/jfree/data/xy/VectorTest.java,jfreechart/src/test/java/org/jfree/data/xy/VectorTest.java,88,51,0.57954544,5,0.115909085
jfreechart/src/test/java/org/jfree/data/xy/MatrixSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/MatrixSeriesCollectionTest.java,99,51,0.5151515,5,0.1030303
jfreechart/src/test/java/org/jfree/data/xy/VectorSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/xy/VectorSeriesCollectionTest.java,120,54,0.45,6,0.074999996
jfreechart/src/test/java/org/jfree/data/DataUtilsTest.java,jfreechart/src/test/java/org/jfree/data/DataUtilsTest.java,205,59,0.28780487,8,0.03597561
jfreechart/src/test/java/org/jfree/data/KeyedObjectTest.java,jfreechart/src/test/java/org/jfree/data/KeyedObjectTest.java,106,54,0.509434,5,0.101886794
jfreechart/src/test/java/org/jfree/data/DefaultKeyedValueTest.java,jfreechart/src/test/java/org/jfree/data/DefaultKeyedValueTest.java,114,57,0.5,6,0.083333336
jfreechart/src/test/java/org/jfree/data/RangeTest.java,jfreechart/src/test/java/org/jfree/data/RangeTest.java,296,87,0.2939189,22,0.01335995
jfreechart/src/test/java/org/jfree/data/KeyToGroupMapTest.java,jfreechart/src/test/java/org/jfree/data/KeyToGroupMapTest.java,226,88,0.38938054,9,0.043264505
jfreechart/src/test/java/org/jfree/data/RangeTypeTest.java,jfreechart/src/test/java/org/jfree/data/RangeTypeTest.java,79,47,0.5949367,4,0.14873418
jfreechart/src/test/java/org/jfree/data/gantt/TaskSeriesCollectionTest.java,jfreechart/src/test/java/org/jfree/data/gantt/TaskSeriesCollectionTest.java,554,159,0.2870036,28,0.010250129
jfreechart/src/test/java/org/jfree/data/gantt/TaskSeriesTest.java,jfreechart/src/test/java/org/jfree/data/gantt/TaskSeriesTest.java,104,51,0.4903846,5,0.098076925
jfreechart/src/test/java/org/jfree/data/gantt/TaskTest.java,jfreechart/src/test/java/org/jfree/data/gantt/TaskTest.java,105,50,0.47619048,5,0.0952381
jfreechart/src/test/java/org/jfree/data/gantt/SlidingGanttCategoryDatasetTest.java,jfreechart/src/test/java/org/jfree/data/gantt/SlidingGanttCategoryDatasetTest.java,159,54,0.33962265,7,0.04851752
jfreechart/src/test/java/org/jfree/data/gantt/XYTaskDatasetTest.java,jfreechart/src/test/java/org/jfree/data/gantt/XYTaskDatasetTest.java,119,49,0.4117647,4,0.10294118
jfreechart/src/test/java/org/jfree/data/KeyedObjectsTest.java,jfreechart/src/test/java/org/jfree/data/KeyedObjectsTest.java,322,90,0.2795031,11,0.025409373
jfreechart/src/test/java/org/jfree/data/general/DefaultPieDatasetTest.java,jfreechart/src/test/java/org/jfree/data/general/DefaultPieDatasetTest.java,152,63,0.41447368,8,0.05180921
jfreechart/src/test/java/org/jfree/data/general/IntervalDataItem.java,jfreechart/src/test/java/org/jfree/data/general/IntervalDataItem.java,54,39,0.7222222,5,0.14444444
jfreechart/src/test/java/org/jfree/data/general/TestIntervalCategoryDataset.java,jfreechart/src/test/java/org/jfree/data/general/TestIntervalCategoryDataset.java,412,242,0.5873786,39,0.01506099
jfreechart/src/test/java/org/jfree/data/general/DatasetUtilsTest.java,jfreechart/src/test/java/org/jfree/data/general/DatasetUtilsTest.java,1313,297,0.22619954,66,0.0034272657
jfreechart/src/test/java/org/jfree/data/general/DefaultKeyedValuesDatasetTest.java,jfreechart/src/test/java/org/jfree/data/general/DefaultKeyedValuesDatasetTest.java,70,45,0.64285713,3,0.21428572
