chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WMP, paquet_BC
jfreechart/src/test/java/org/jfree/data/xy,jfreechart/src/test/java/org/jfree/data/xy,5773,2349,0.40689418,293,0.0013887173
jfreechart/src/test/java/org/jfree/data/gantt,jfreechart/src/test/java/org/jfree/data/gantt,1041,363,0.34870318,49,0.0071163913
jfreechart/src/test/java/org/jfree/data/general,jfreechart/src/test/java/org/jfree/data/general,2438,889,0.36464316,156,0.0023374562
jfreechart/src/test/java/org/jfree/data/function,jfreechart/src/test/java/org/jfree/data/function,368,212,0.57608694,22,0.02618577
jfreechart/src/test/java/org/jfree/data/time/ohlc,jfreechart/src/test/java/org/jfree/data/time/ohlc,645,274,0.4248062,34,0.0124943005
jfreechart/src/test/java/org/jfree/data/time,jfreechart/src/test/java/org/jfree/data/time,6876,2264,0.32926118,466,7.0656906E-4
jfreechart/src/test/java/org/jfree/data/category,jfreechart/src/test/java/org/jfree/data/category,1165,389,0.33390558,53,0.0063001052
jfreechart/src/test/java/org/jfree/data/flow,jfreechart/src/test/java/org/jfree/data/flow,269,155,0.5762082,15,0.03841388
jfreechart/src/test/java/org/jfree/data/statistics,jfreechart/src/test/java/org/jfree/data/statistics,2250,840,0.37333333,106,0.0035220126
jfreechart/src/test/java/org/jfree/data,jfreechart/src/test/java/org/jfree/data,2827,1037,0.36681995,1292,2.8391636E-4
jfreechart/src/test/java/org/jfree/chart/internal,jfreechart/src/test/java/org/jfree/chart/internal,514,264,0.51361865,31,0.016568344
jfreechart/src/test/java/org/jfree/chart/renderer/xy,jfreechart/src/test/java/org/jfree/chart/renderer/xy,4693,1899,0.4046452,255,0.001586844
jfreechart/src/test/java/org/jfree/chart/renderer/category,jfreechart/src/test/java/org/jfree/chart/renderer/category,3683,1602,0.43497148,204,0.0021322132
jfreechart/src/test/java/org/jfree/chart/renderer,jfreechart/src/test/java/org/jfree/chart/renderer,1702,575,0.33783785,572,5.906256E-4
jfreechart/src/test/java/org/jfree/chart/legend,jfreechart/src/test/java/org/jfree/chart/legend,496,180,0.36290324,22,0.016495602
jfreechart/src/test/java/org/jfree/chart/annotations,jfreechart/src/test/java/org/jfree/chart/annotations,2077,846,0.40731823,89,0.0045766095
jfreechart/src/test/java/org/jfree/chart/title,jfreechart/src/test/java/org/jfree/chart/title,732,371,0.5068306,28,0.018101092
jfreechart/src/test/java/org/jfree/chart/axis,jfreechart/src/test/java/org/jfree/chart/axis,5100,1891,0.3707843,203,0.0018265237
jfreechart/src/test/java/org/jfree/chart/urls,jfreechart/src/test/java/org/jfree/chart/urls,764,371,0.48560208,35,0.013874345
jfreechart/src/test/java/org/jfree/chart/plot/pie,jfreechart/src/test/java/org/jfree/chart/plot/pie,901,241,0.26748058,32,0.008358768
jfreechart/src/test/java/org/jfree/chart/plot/flow,jfreechart/src/test/java/org/jfree/chart/plot/flow,228,62,0.27192983,16,0.016995614
jfreechart/src/test/java/org/jfree/chart/plot/dial,jfreechart/src/test/java/org/jfree/chart/plot/dial,1769,734,0.4149237,79,0.005252199
jfreechart/src/test/java/org/jfree/chart/plot/compass,jfreechart/src/test/java/org/jfree/chart/plot/compass,849,518,0.61012954,44,0.01386658
jfreechart/src/test/java/org/jfree/chart/plot,jfreechart/src/test/java/org/jfree/chart/plot,6456,1878,0.29089218,436,6.671839E-4
jfreechart/src/test/java/org/jfree/chart/block,jfreechart/src/test/java/org/jfree/chart/block,2089,757,0.36237434,65,0.0055749896
jfreechart/src/test/java/org/jfree/chart/text/format,jfreechart/src/test/java/org/jfree/chart/text/format,332,152,0.45783132,31,0.014768752
jfreechart/src/test/java/org/jfree/chart/api,jfreechart/src/test/java/org/jfree/chart/api,85,41,0.48235294,2,0.24117647
jfreechart/src/test/java/org/jfree/chart/imagemap,jfreechart/src/test/java/org/jfree/chart/imagemap,336,230,0.6845238,14,0.048894558
jfreechart/src/test/java/org/jfree/chart/labels,jfreechart/src/test/java/org/jfree/chart/labels,2406,1133,0.47090608,122,0.003859886
jfreechart/src/test/java/org/jfree/chart/swing,jfreechart/src/test/java/org/jfree/chart/swing,397,161,0.40554157,26,0.015597752
jfreechart/src/test/java/org/jfree/chart/entity,jfreechart/src/test/java/org/jfree/chart/entity,778,379,0.48714653,32,0.015223329
jfreechart/src/test/java/org/jfree/chart,jfreechart/src/test/java/org/jfree/chart,3755,1568,0.41757655,1905,2.1920029E-4
