chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTUtils.java,SWTUtils.java,467,196,0.4197002,35,0.011991435
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTGraphics2D.java,SWTGraphics2D.java,1142,595,0.52101576,99,0.0052627856
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTPaintCanvas.java,SWTPaintCanvas.java,125,80,0.64,9,0.07111111
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTTitleEditor.java,SWTTitleEditor.java,253,99,0.39130434,12,0.032608695
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTNumberAxisEditor.java,SWTNumberAxisEditor.java,227,101,0.44493392,13,0.034225687
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTChartEditor.java,SWTChartEditor.java,153,69,0.4509804,6,0.0751634
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTStrokeCanvas.java,SWTStrokeCanvas.java,116,65,0.5603448,7,0.08004926
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTPlotEditor.java,SWTPlotEditor.java,195,84,0.43076923,15,0.028717948
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTOtherEditor.java,SWTOtherEditor.java,131,61,0.46564886,4,0.116412215
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTAxisEditor.java,SWTAxisEditor.java,350,141,0.40285715,19,0.021203008
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTPlotAppearanceEditor.java,SWTPlotAppearanceEditor.java,255,78,0.30588236,14,0.02184874
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/ChartComposite.java,ChartComposite.java,1698,664,0.39104828,147,0.0026601923
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTPieChartDemo1.java,SWTPieChartDemo1.java,116,63,0.54310346,4,0.13577586
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTMultipleAxisDemo1.java,SWTMultipleAxisDemo1.java,197,71,0.3604061,5,0.07208122
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTTimeSeriesDemo.java,SWTTimeSeriesDemo.java,172,68,0.39534885,6,0.065891474
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java,SWTBarChartDemo1.java,159,77,0.48427674,4,0.121069185
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValues2DDatasetTests.java,DefaultKeyedValues2DDatasetTests.java,116,58,0.5,4,0.125
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DatasetUtilitiesTests.java,DatasetUtilitiesTests.java,670,210,0.31343284,40,0.007835821
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValuesDatasetTests.java,DefaultKeyedValuesDatasetTests.java,117,58,0.4957265,4,0.123931624
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultPieDatasetTests.java,DefaultPieDatasetTests.java,186,70,0.37634408,8,0.04704301
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DataGeneralPackageTests.java,DataGeneralPackageTests.java,82,60,0.73170733,3,0.24390244
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DatasetGroupTests.java,DatasetGroupTests.java,93,55,0.5913978,3,0.1971326
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValueDatasetTests.java,DefaultKeyedValueDatasetTests.java,147,64,0.43537414,6,0.07256236
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/CategoryTableXYDatasetTests.java,CategoryTableXYDatasetTests.java,164,68,0.41463414,6,0.06910569
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/VectorSeriesTests.java,VectorSeriesTests.java,273,94,0.34432235,14,0.024594454
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/YIntervalSeriesTests.java,YIntervalSeriesTests.java,271,93,0.34317344,14,0.02451239
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XIntervalSeriesCollectionTests.java,XIntervalSeriesCollectionTests.java,185,82,0.44324324,7,0.063320465
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultXYDatasetTests.java,DefaultXYDatasetTests.java,245,97,0.39591837,9,0.04399093
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/YIntervalDataItemTests.java,YIntervalDataItemTests.java,148,68,0.45945945,6,0.076576576
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYIntervalTests.java,XYIntervalTests.java,127,61,0.48031497,5,0.096062995
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/VectorTests.java,VectorTests.java,128,65,0.5078125,6,0.084635414
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/MatrixSeriesCollectionTests.java,MatrixSeriesCollectionTests.java,137,62,0.45255473,5,0.09051095
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultXYZDatasetTests.java,DefaultXYZDatasetTests.java,250,97,0.388,9,0.043111112
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/YWithXIntervalTests.java,YWithXIntervalTests.java,119,61,0.5126051,5,0.10252102
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XIntervalSeriesTests.java,XIntervalSeriesTests.java,271,93,0.34317344,14,0.02451239
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYIntervalDataItemTests.java,XYIntervalDataItemTests.java,165,70,0.42424244,6,0.070707075
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/VectorSeriesCollectionTests.java,VectorSeriesCollectionTests.java,159,66,0.41509435,6,0.06918239
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/YIntervalTests.java,YIntervalTests.java,119,61,0.5126051,5,0.10252102
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/TableXYDatasetTests.java,TableXYDatasetTests.java,271,119,0.4391144,14,0.031365313
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYIntervalSeriesTests.java,XYIntervalSeriesTests.java,285,97,0.34035087,15,0.022690058
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/YIntervalSeriesCollectionTests.java,YIntervalSeriesCollectionTests.java,185,82,0.44324324,7,0.063320465
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/OHLCDataItemTests.java,OHLCDataItemTests.java,118,61,0.5169492,5,0.10338984
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/IntervalXYDelegateTests.java,IntervalXYDelegateTests.java,149,62,0.4161074,5,0.08322148
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DataXYPackageTests.java,DataXYPackageTests.java,119,69,0.57983196,3,0.19327731
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultTableXYDatasetTests.java,DefaultTableXYDatasetTests.java,203,73,0.3596059,7,0.05137227
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultOHLCDatasetTests.java,DefaultOHLCDatasetTests.java,151,65,0.43046358,6,0.07174393
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultIntervalXYDatasetTests.java,DefaultIntervalXYDatasetTests.java,365,125,0.34246576,18,0.019025875
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYSeriesTests.java,XYSeriesTests.java,407,116,0.28501227,21,0.013572013
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYBarDatasetTests.java,XYBarDatasetTests.java,145,62,0.4275862,5,0.08551724
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/VectorDataItemTests.java,VectorDataItemTests.java,145,65,0.44827586,6,0.07471264
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYIntervalSeriesCollectionTests.java,XYIntervalSeriesCollectionTests.java,192,84,0.4375,7,0.0625
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/MatrixSeriesTests.java,MatrixSeriesTests.java,183,70,0.38251367,8,0.04781421
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultWindDatasetTests.java,DefaultWindDatasetTests.java,217,99,0.4562212,9,0.050691243
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYDataItemTests.java,XYDataItemTests.java,122,61,0.5,5,0.1
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYSeriesCollectionTests.java,XYSeriesCollectionTests.java,257,90,0.35019454,10,0.035019454
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XYCoordinateTests.java,XYCoordinateTests.java,128,65,0.5078125,6,0.084635414
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/XIntervalDataItemTests.java,XIntervalDataItemTests.java,148,68,0.45945945,6,0.076576576
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/DefaultHighLowDatasetTests.java,DefaultHighLowDatasetTests.java,192,61,0.31770834,5,0.063541666
/home/celia/jfreechart/tests/org/jfree/data/junit/DefaultKeyedValuesTests.java,DefaultKeyedValuesTests.java,469,181,0.3859275,21,0.0183775
/home/celia/jfreechart/tests/org/jfree/data/junit/DomainOrderTests.java,DomainOrderTests.java,123,61,0.49593496,5,0.099186994
/home/celia/jfreechart/tests/org/jfree/data/junit/KeyedObjectsTests.java,KeyedObjectsTests.java,367,108,0.29427794,13,0.022636764
/home/celia/jfreechart/tests/org/jfree/data/junit/KeyedObjectTests.java,KeyedObjectTests.java,162,69,0.42592594,6,0.07098766
/home/celia/jfreechart/tests/org/jfree/data/junit/KeyToGroupMapTests.java,KeyToGroupMapTests.java,250,102,0.408,10,0.040799998
/home/celia/jfreechart/tests/org/jfree/data/junit/RangeTypeTests.java,RangeTypeTests.java,123,61,0.49593496,5,0.099186994
/home/celia/jfreechart/tests/org/jfree/data/junit/ComparableObjectSeriesTests.java,ComparableObjectSeriesTests.java,224,94,0.41964287,10,0.041964285
/home/celia/jfreechart/tests/org/jfree/data/junit/RangeTests.java,RangeTests.java,280,94,0.33571428,12,0.02797619
/home/celia/jfreechart/tests/org/jfree/data/junit/DataPackageTests.java,DataPackageTests.java,98,69,0.70408165,3,0.23469388
/home/celia/jfreechart/tests/org/jfree/data/junit/DefaultKeyedValueTests.java,DefaultKeyedValueTests.java,146,76,0.5205479,6,0.08675799
/home/celia/jfreechart/tests/org/jfree/data/junit/DefaultKeyedValues2DTests.java,DefaultKeyedValues2DTests.java,332,104,0.31325302,16,0.019578313
/home/celia/jfreechart/tests/org/jfree/data/junit/ComparableObjectItemTests.java,ComparableObjectItemTests.java,161,76,0.47204968,7,0.06743567
/home/celia/jfreechart/tests/org/jfree/data/junit/KeyedObjects2DTests.java,KeyedObjects2DTests.java,384,100,0.26041666,13,0.02003205
/home/celia/jfreechart/tests/org/jfree/data/junit/DataUtilitiesTests.java,DataUtilitiesTests.java,89,51,0.5730337,3,0.19101124
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimePeriodValueTests.java,TimePeriodValueTests.java,116,65,0.5603448,6,0.0933908
/home/celia/jfreechart/tests/org/jfree/data/time/junit/SecondTests.java,SecondTests.java,327,121,0.37003058,20,0.01850153
/home/celia/jfreechart/tests/org/jfree/data/time/junit/MonthTests.java,MonthTests.java,395,151,0.38227847,25,0.015291139
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimeSeriesCollectionTests.java,TimeSeriesCollectionTests.java,260,96,0.36923078,9,0.041025642
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimeTableXYDatasetTests.java,TimeTableXYDatasetTests.java,178,73,0.41011235,8,0.051264044
/home/celia/jfreechart/tests/org/jfree/data/time/junit/WeekTests.java,WeekTests.java,483,181,0.3747412,26,0.014413123
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimeSeriesTests.java,TimeSeriesTests.java,724,234,0.32320443,28,0.011543015
/home/celia/jfreechart/tests/org/jfree/data/time/junit/MillisecondTests.java,MillisecondTests.java,347,129,0.37175792,21,0.017702758
/home/celia/jfreechart/tests/org/jfree/data/time/junit/HourTests.java,HourTests.java,363,141,0.38842976,25,0.01553719
/home/celia/jfreechart/tests/org/jfree/data/time/junit/YearTests.java,YearTests.java,380,144,0.37894738,25,0.015157895
/home/celia/jfreechart/tests/org/jfree/data/time/junit/MinuteTests.java,MinuteTests.java,340,127,0.3735294,21,0.017787114
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimePeriodValuesCollectionTests.java,TimePeriodValuesCollectionTests.java,230,90,0.39130434,9,0.04347826
/home/celia/jfreechart/tests/org/jfree/data/time/junit/DayTests.java,DayTests.java,379,152,0.4010554,26,0.015425207
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimeSeriesDataItemTests.java,TimeSeriesDataItemTests.java,130,67,0.5153846,6,0.08589744
/home/celia/jfreechart/tests/org/jfree/data/time/junit/DateRangeTests.java,DateRangeTests.java,120,63,0.525,5,0.105
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimePeriodAnchorTests.java,TimePeriodAnchorTests.java,101,58,0.57425743,4,0.14356436
/home/celia/jfreechart/tests/org/jfree/data/time/junit/DataTimePackageTests.java,DataTimePackageTests.java,98,61,0.622449,3,0.207483
/home/celia/jfreechart/tests/org/jfree/data/time/junit/MovingAverageTests.java,MovingAverageTests.java,114,63,0.55263156,4,0.13815789
/home/celia/jfreechart/tests/org/jfree/data/time/junit/QuarterTests.java,QuarterTests.java,413,167,0.40435836,26,0.015552244
/home/celia/jfreechart/tests/org/jfree/data/time/junit/SimpleTimePeriodTests.java,SimpleTimePeriodTests.java,189,77,0.4074074,9,0.04526749
/home/celia/jfreechart/tests/org/jfree/data/time/junit/FixedMillisecondTests.java,FixedMillisecondTests.java,114,64,0.5614035,5,0.112280704
/home/celia/jfreechart/tests/org/jfree/data/time/junit/TimePeriodValuesTests.java,TimePeriodValuesTests.java,390,123,0.31538463,19,0.016599191
/home/celia/jfreechart/tests/org/jfree/data/time/ohlc/junit/OHLCItemTests.java,OHLCItemTests.java,155,69,0.44516128,6,0.074193545
/home/celia/jfreechart/tests/org/jfree/data/time/ohlc/junit/OHLCTests.java,OHLCTests.java,123,61,0.49593496,5,0.099186994
/home/celia/jfreechart/tests/org/jfree/data/time/ohlc/junit/OHLCSeriesCollectionTests.java,OHLCSeriesCollectionTests.java,159,78,0.49056605,6,0.08176101
/home/celia/jfreechart/tests/org/jfree/data/time/ohlc/junit/OHLCPackageTests.java,OHLCPackageTests.java,79,59,0.7468355,3,0.24894516
/home/celia/jfreechart/tests/org/jfree/data/time/ohlc/junit/OHLCSeriesTests.java,OHLCSeriesTests.java,230,84,0.3652174,12,0.030434782
/home/celia/jfreechart/tests/org/jfree/data/category/junit/DataCategoryPackageTests.java,DataCategoryPackageTests.java,82,63,0.76829267,3,0.25609756
/home/celia/jfreechart/tests/org/jfree/data/category/junit/CategoryToPieDatasetTests.java,CategoryToPieDatasetTests.java,229,127,0.55458516,8,0.069323145
/home/celia/jfreechart/tests/org/jfree/data/category/junit/DefaultIntervalCategoryDatasetTests.java,DefaultIntervalCategoryDatasetTests.java,447,127,0.28411633,22,0.012914378
/home/celia/jfreechart/tests/org/jfree/data/category/junit/DefaultCategoryDatasetTests.java,DefaultCategoryDatasetTests.java,364,107,0.29395604,15,0.01959707
/home/celia/jfreechart/tests/org/jfree/data/gantt/junit/TaskSeriesTests.java,TaskSeriesTests.java,146,64,0.43835616,6,0.07305936
/home/celia/jfreechart/tests/org/jfree/data/gantt/junit/DataGanttPackageTests.java,DataGanttPackageTests.java,81,62,0.7654321,3,0.25514403
/home/celia/jfreechart/tests/org/jfree/data/gantt/junit/TaskTests.java,TaskTests.java,152,64,0.42105263,6,0.07017544
/home/celia/jfreechart/tests/org/jfree/data/gantt/junit/TaskSeriesCollectionTests.java,TaskSeriesCollectionTests.java,592,173,0.29222974,29,0.010076888
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/BoxAndWhiskerCalculatorTests.java,BoxAndWhiskerCalculatorTests.java,165,68,0.4121212,6,0.068686865
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/HistogramBinTests.java,HistogramBinTests.java,124,61,0.4919355,5,0.0983871
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/DataStatisticsPackageTests.java,DataStatisticsPackageTests.java,93,65,0.6989247,3,0.2329749
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/RegressionTests.java,RegressionTests.java,228,94,0.4122807,16,0.025767544
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/MeanAndStandardDeviationTests.java,MeanAndStandardDeviationTests.java,117,61,0.52136755,5,0.10427351
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/SimpleHistogramDatasetTests.java,SimpleHistogramDatasetTests.java,150,69,0.46,7,0.065714285
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/DefaultMultiValueCategoryDatasetTests.java,DefaultMultiValueCategoryDatasetTests.java,259,85,0.32818532,10,0.032818533
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/DefaultStatisticalCategoryDatasetTests.java,DefaultStatisticalCategoryDatasetTests.java,270,94,0.34814814,12,0.029012345
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/DefaultBoxAndWhiskerCategoryDatasetTests.java,DefaultBoxAndWhiskerCategoryDatasetTests.java,294,87,0.29591838,11,0.02690167
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/BoxAndWhiskerItemTests.java,BoxAndWhiskerItemTests.java,115,58,0.5043478,4,0.12608695
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/HistogramDatasetTests.java,HistogramDatasetTests.java,196,80,0.40816328,10,0.04081633
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/StatisticsTests.java,StatisticsTests.java,428,112,0.26168224,14,0.018691588
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/SimpleHistogramBinTests.java,SimpleHistogramBinTests.java,184,68,0.36956522,7,0.05279503
/home/celia/jfreechart/tests/org/jfree/data/statistics/junit/DefaultBoxAndWhiskerXYDatasetTests.java,DefaultBoxAndWhiskerXYDatasetTests.java,195,72,0.36923078,8,0.046153847
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYBoxAndWhiskerRendererTests.java,XYBoxAndWhiskerRendererTests.java,161,67,0.41614908,6,0.06935818
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/StackedXYAreaRendererTests.java,StackedXYAreaRendererTests.java,243,99,0.4074074,9,0.04526749
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYStepAreaRendererTests.java,XYStepAreaRendererTests.java,189,82,0.43386245,7,0.061980348
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/DeviationRendererTests.java,DeviationRendererTests.java,134,66,0.49253732,6,0.08208955
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYSplineRendererTests.java,XYSplineRendererTests.java,135,64,0.47407407,6,0.07901234
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYAreaRenderer2Tests.java,XYAreaRenderer2Tests.java,217,92,0.42396313,8,0.05299539
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/StandardXYItemRendererTests.java,StandardXYItemRendererTests.java,263,84,0.31939164,8,0.039923955
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYLine3DRendererTests.java,XYLine3DRendererTests.java,147,64,0.43537414,6,0.07256236
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/StackedXYAreaRenderer2Tests.java,StackedXYAreaRenderer2Tests.java,190,75,0.39473686,8,0.049342107
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/RendererXYPackageTests.java,RendererXYPackageTests.java,148,78,0.527027,5,0.105405405
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYDifferenceRendererTests.java,XYDifferenceRendererTests.java,216,85,0.3935185,8,0.049189813
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/CandlestickRendererTests.java,CandlestickRendererTests.java,230,86,0.37391305,8,0.04673913
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYDotRendererTests.java,XYDotRendererTests.java,186,77,0.4139785,7,0.059139784
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/AbstractXYItemRendererTests.java,AbstractXYItemRendererTests.java,175,79,0.45142856,8,0.05642857
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/StackedXYBarRendererTests.java,StackedXYBarRendererTests.java,184,72,0.39130434,8,0.048913043
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/VectorRendererTests.java,VectorRendererTests.java,135,66,0.4888889,6,0.08148148
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYLineAndShapeRendererTests.java,XYLineAndShapeRendererTests.java,299,87,0.2909699,10,0.02909699
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/ClusteredXYBarRendererTests.java,ClusteredXYBarRendererTests.java,186,75,0.4032258,8,0.050403226
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/WindItemRendererTests.java,WindItemRendererTests.java,128,64,0.5,6,0.083333336
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/YIntervalRendererTests.java,YIntervalRendererTests.java,249,79,0.3172691,7,0.045324154
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYAreaRendererTests.java,XYAreaRendererTests.java,240,93,0.3875,8,0.0484375
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYBlockRendererTests.java,XYBlockRendererTests.java,180,76,0.42222223,8,0.05277778
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYErrorRendererTests.java,XYErrorRendererTests.java,155,68,0.43870968,6,0.07311828
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYStepRendererTests.java,XYStepRendererTests.java,213,95,0.4460094,8,0.055751175
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/HighLowRendererTests.java,HighLowRendererTests.java,184,76,0.41304347,7,0.05900621
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYBarRendererTests.java,XYBarRendererTests.java,268,94,0.35074627,9,0.038971808
/home/celia/jfreechart/tests/org/jfree/chart/renderer/xy/junit/XYBubbleRendererTests.java,XYBubbleRendererTests.java,180,77,0.42777777,7,0.06111111
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/GrayPaintScaleTests.java,GrayPaintScaleTests.java,155,70,0.4516129,7,0.06451613
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/AbstractRendererTests.java,AbstractRendererTests.java,783,212,0.2707535,24,0.011281396
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/RendererUtilitiesTests.java,RendererUtilitiesTests.java,399,114,0.2857143,12,0.023809524
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/RendererPackageTests.java,RendererPackageTests.java,78,58,0.74358976,2,0.37179488
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/RendererChangeDetector.java,RendererChangeDetector.java,82,65,0.79268295,4,0.19817074
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/DefaultPolarItemRendererTests.java,DefaultPolarItemRendererTests.java,136,65,0.4779412,6,0.07965686
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/LookupPaintScaleTests.java,LookupPaintScaleTests.java,227,75,0.33039647,8,0.04129956
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/OutlierTests.java,OutlierTests.java,112,64,0.5714286,6,0.0952381
/home/celia/jfreechart/tests/org/jfree/chart/renderer/junit/AreaRendererEndTypeTests.java,AreaRendererEndTypeTests.java,105,58,0.552381,4,0.13809524
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/BarRenderer3DTests.java,BarRenderer3DTests.java,147,66,0.4489796,6,0.07482993
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/GanttRendererTests.java,GanttRendererTests.java,150,65,0.43333334,6,0.072222225
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/LineAndShapeRendererTests.java,LineAndShapeRendererTests.java,304,87,0.28618422,27,0.010599416
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/LineRenderer3DTests.java,LineRenderer3DTests.java,227,74,0.32599118,20,0.016299559
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/GroupedStackedBarRendererTests.java,GroupedStackedBarRendererTests.java,160,77,0.48125,6,0.08020833
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/CategoryStepRendererTests.java,CategoryStepRendererTests.java,150,74,0.49333334,6,0.08222222
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/StatisticalLineAndShapeRendererTests.java,StatisticalLineAndShapeRendererTests.java,182,82,0.45054945,8,0.05631868
/home/celia/jfreechart/tests/org/jfree/chart/renderer/category/junit/StackedBarRendererTests.java,StackedBarRendererTests.java,133,64,0.48120302,6,0.0802005
